repeat_id,algorithm_name,search_mode,job_id,gpu_need,combo,predicted_standalone_bw,predicted_final_bw,real_standalone_bw,real_final_bw,real_contention_ratio,real_cluster_throughput,num_active_jobs
0,BandDisp,model_prediction,0,6,"[0,0,6,0]",228.09,228.09,232.24,232.24,1.0,232.24,1
0,BandDisp,model_prediction,1,10,"[4,0,0,6]",137.5291290283203,137.5291290283203,142.12,142.12,1.0,374.36,2
0,BandDisp,model_prediction,2,2,"[0,2,0,0]",206.97,206.97,204.92,204.92,1.0,579.28,3
0,BandDisp,model_prediction,3,2,"[2,0,0,0]",205.89,205.89,204.92,204.92,1.0,784.1999999999999,4
0,BandDisp,model_prediction,4,2,"[2,0,0,0]",206.85,206.85,204.92,204.92,1.0,989.1199999999999,5
0,BandDisp,model_prediction,5,2,"[0,2,0,0]",205.73,205.73,204.92,204.92,1.0,1194.04,6
0,BandDisp,model_prediction,6,6,"[0,2,2,2]",72.53048706054688,25.4161181751119,76.29,22.623979213405978,0.2965523556613708,1116.69,7
0,BandDisp,model_prediction,7,2,"[0,2,0,0]",206.81,206.81,204.92,204.92,1.0,1321.6100000000001,8
1,BandDisp,model_prediction,0,4,"[4,0,0,0]",243.63,243.63,244.7,244.7,1.0,244.7,1
1,BandDisp,model_prediction,1,12,"[4,8,0,0]",138.80914306640625,138.80914306640625,141.27,141.27,1.0,385.97,2
1,BandDisp,model_prediction,2,2,"[0,0,2,0]",205.58,205.58,204.92,204.92,1.0,590.89,3
1,BandDisp,model_prediction,3,4,"[0,0,0,4]",242.9,242.9,244.7,244.7,1.0,835.5899999999999,4
1,BandDisp,model_prediction,4,6,"[0,0,6,0]",228.12,228.12,232.24,232.24,1.0,1067.83,5
1,BandDisp,model_prediction,5,2,"[0,0,0,2]",206.22,206.22,204.92,204.92,1.0,1272.75,6
1,BandDisp,model_prediction,6,2,"[0,0,0,2]",206.61,206.61,204.92,204.92,1.0,1477.67,7
2,BandDisp,model_prediction,0,6,"[0,0,6,0]",228.09,228.09,232.24,232.24,1.0,232.24,1
2,BandDisp,model_prediction,1,6,"[0,0,0,6]",230.03,230.03,232.24,232.24,1.0,464.48,2
2,BandDisp,model_prediction,2,4,"[4,0,0,0]",243.63,243.63,244.7,244.7,1.0,709.1800000000001,3
2,BandDisp,model_prediction,3,12,"[4,4,2,2]",64.7374496459961,64.7374496459961,52.92,52.92,1.0,762.1,4
2,BandDisp,model_prediction,4,4,"[0,4,0,0]",243.33,243.33,244.7,244.7,1.0,1006.8,5
3,BandDisp,model_prediction,0,2,"[2,0,0,0]",207.4,207.4,204.92,204.92,1.0,204.92,1
3,BandDisp,model_prediction,1,12,"[0,0,4,8]",138.9938507080078,138.9938507080078,141.27,141.27,1.0,346.19,2
3,BandDisp,model_prediction,2,12,"[0,8,4,0]",138.67828369140625,71.56721671051567,141.27,76.04,0.5382600693707086,357.0,3
3,BandDisp,model_prediction,3,6,"[6,0,0,0]",228.85,228.85,232.24,232.24,1.0,589.24,4
